,H,L
0,2.3,4.6
1,2.299646761032849,4.600880537221309
2,2.29929448524718,4.601759437133474
3,2.2989431682576082,4.60263670659295
4,2.2985928057080476,4.603512352412766
5,2.2982433932714508,4.60438638136289
6,2.297894926649555,4.605258800170595
7,2.297547401572628,4.6061296155208185
8,2.297200813799217,4.60699883405652
9,2.296855159115904,4.6078664623790315
10,2.2965104333370574,4.60873250704841
11,2.296166632304592,4.6095969745837815
12,2.29582375188773,4.610459871463681
13,2.2954817879827605,4.611321204126395
14,2.29514073651281,4.612180978970291
15,2.2948005934276066,4.6130392023541535
16,2.294461354703253,4.61389588059751
17,2.294123016341998,4.614751019980954
18,2.293785574372012,4.615604626746468
19,2.293449024847166,4.616456707097742
20,2.2931133638468117,4.6173072672004825
21,2.292778587475563,4.618156313182733
22,2.2924446918630816,4.619003851135173
23,2.292111673163864,4.61984988711143
24,2.291779527557031,4.620694427128375
25,2.291448251246119,4.6215374771664255
26,2.291117840458875,4.622379043169841
27,2.29078829144705,4.623219131047013
28,2.2904596004862006,4.624057746670757
29,2.290131763875486,4.624894895878599
30,2.2898047779374724,4.625730584473058
31,2.289478639017936,4.6265648182219286
32,2.28915334348567,4.627397602858558
33,2.288828887732294,4.628228944082123
34,2.2885052681720626,4.6290588475579
35,2.288182481241678,4.629887318917538
36,2.2878605234001057,4.630714363759322
37,2.2875393911283894,4.631539987648443
38,2.2872190809294697,4.632364196117255
39,2.286899589328003,4.633186994665535
40,2.286580912870184,4.634008388760743
41,2.286263048123571,4.634828383838274
42,2.285945991676907,4.635646985301707
43,2.2856297401399517,4.636464198523061
44,2.285314290143307,4.637280028843036
45,2.284999638338248,4.638094481571259
46,2.2846857813965578,4.638907561986527
47,2.2843727160103584,4.639719275337047
48,2.2840604388919488,4.640529626840669
49,2.283748946773641,4.6413386216851285
50,2.283438236407599,4.642146265028272
51,2.2831283045656803,4.642952561998291
52,2.282819148039277,4.643757517693951
53,2.282510763639161,4.644561137184815
54,2.2822031481953275,4.64536342551147
55,2.281896298556843,4.646164387685746
56,2.2815902115916935,4.646964028690938
57,2.281284884186634,4.6477623534820225
58,2.2809803132470403,4.6485593669858725
59,2.2806764956967616,4.649355074101471
60,2.2803734284779744,4.650149479700123
61,2.280071108551039,4.650942588625665
62,2.279769532894355,4.651734405694673
63,2.279468698504222,4.652524935696663
64,2.279168602394698,4.6533141833943015
65,2.278869241597461,4.654102153523603
66,2.2785706131616705,4.654888850794129
67,2.278272714153834,4.65567427988919
68,2.27797554165767,4.656458445466036
69,2.2776790927739743,4.6572413521560545
70,2.2773833646204897,4.658023004564961
71,2.2770883543317737,4.658803407272989
72,2.276794059059069,4.659582564835082
73,2.2765004759701752,4.660360481781076
74,2.276207602249322,4.661137162615888
75,2.2759154350970423,4.661912611819698
76,2.275623971730049,4.662686833848132
77,2.275333209381109,4.663459833132439
